year,country_region,inflow_outflow_ratio,yoy_change
2019,Algeria,0.18,
2020,Algeria,0.34,0.928630201
2021,Algeria,0.36,0.041981064
2022,Algeria,0.33,-0.067841708
2019,Argentina,0.63,
2020,Argentina,0.57,-0.103700981
2021,Argentina,0.39,-0.313191667
2022,Argentina,0.52,0.337521557
2019,Australia,2.23,
2020,Australia,1.32,-0.406685248
2021,Australia,1.27,-0.038189641
2022,Australia,2.08,0.636109815
2019,Austria,1.46,
2020,Austria,1.48,0.013866881
2021,Austria,1.45,-0.016864807
2022,Austria,1.47,0.016304969
2019,Bahrain,0.53,
2020,Bahrain,0.95,0.800210462
2021,Bahrain,1.01,0.061385922
2022,Bahrain,1.08,0.072878759
2019,Bangladesh,0.24,
2020,Bangladesh,0.6,1.458013611
2021,Bangladesh,0.46,-0.234090396
2022,Bangladesh,0.29,-0.368123264
2019,Belgium,1.4,
2020,Belgium,1.21,-0.135958381
2021,Belgium,1.25,0.034537598
2022,Belgium,1.28,0.023197183
2019,Brazil,0.25,
2020,Brazil,0.7,1.765009188
2021,Brazil,0.69,-0.013271872
2022,Brazil,0.47,-0.320750841
2019,Canada,1.89,
2020,Canada,1.88,-0.007420666
2021,Canada,2.21,0.173610661
2022,Canada,2.5,0.133498556
2019,Chile,1.44,
2020,Chile,1.15,-0.198939769
2021,Chile,0.75,-0.345755053
2022,Chile,0.72,-0.044043432
2019,China,0.38,
2020,China,0.94,1.442516836
2021,China,0.75,-0.202272676
2022,China,0.82,0.095031333
2019,Colombia,0.35,
2020,Colombia,0.78,1.232204115
2021,Colombia,0.61,-0.225007269
2022,Colombia,0.47,-0.235588949
2019,Costa Rica,0.58,
2020,Costa Rica,0.95,0.617909911
2021,Costa Rica,0.88,-0.070042052
2022,Costa Rica,0.83,-0.052299189
2019,Croatia,0.64,
2020,Croatia,0.84,0.314846104
2021,Croatia,0.81,-0.033112737
2022,Croatia,0.98,0.204026513
2019,Cyprus,1.33,
2020,Cyprus,1.65,0.238862045
2021,Cyprus,1.49,-0.096047528
2022,Cyprus,2.04,0.363137286
2019,Denmark,1.46,
2020,Denmark,1.29,-0.117139643
2021,Denmark,1.41,0.091970474
2022,Denmark,1.46,0.036863162
2019,Ecuador,0.4,
2020,Ecuador,0.91,1.275762825
2021,Ecuador,0.7,-0.231962412
2022,Ecuador,0.57,-0.180143325
2019,Egypt,0.41,
2020,Egypt,0.93,1.250886272
2021,Egypt,0.8,-0.144847456
2022,Egypt,0.55,-0.307210723
2019,Estonia,1.83,
2020,Estonia,1.72,-0.062737796
2021,Estonia,1.65,-0.039503189
2022,Estonia,1.53,-0.074012187
2019,Finland,1.38,
2020,Finland,1.33,-0.035946021
2021,Finland,1.37,0.034580539
2022,Finland,1.37,-0.002772117
2019,France,1.52,
2020,France,1.27,-0.166631545
2021,France,1.18,-0.065993398
2022,France,1.05,-0.11199684
2019,Germany,1.83,
2020,Germany,1.53,-0.162476788
2021,Germany,1.52,-0.00305971
2022,Germany,1.5,-0.017114871
2019,Ghana,0.33,
2020,Ghana,0.6,0.825407717
2021,Ghana,0.56,-0.059588199
2022,Ghana,0.48,-0.13572443
2019,Greece,0.42,
2020,Greece,0.89,1.108224268
2021,Greece,0.8,-0.101821269
2022,Greece,0.73,-0.092555193
2019,Iceland,0.78,
2020,Iceland,0.98,0.263687287
2021,Iceland,0.93,-0.050951195
2022,Iceland,1.03,0.108418596
2019,India,0.64,
2020,India,0.65,0.012396941
2021,India,0.52,-0.208564778
2022,India,0.34,-0.339879855
2019,Indonesia,1.3,
2020,Indonesia,1.16,-0.109159973
2021,Indonesia,0.98,-0.156182822
2022,Indonesia,0.79,-0.191296474
2019,Iraq,0.64,
2020,Iraq,0.79,0.236229999
2021,Iraq,0.99,0.243630664
2022,Iraq,1.01,0.02162954
2019,Ireland,0.78,
2020,Ireland,1.3,0.674984383
2021,Ireland,1.16,-0.108096082
2022,Ireland,1.44,0.246018741
2019,Israel,0.63,
2020,Israel,1.21,0.904825438
2021,Israel,1.18,-0.021984583
2022,Israel,1.31,0.105316044
2019,Italy,0.98,
2020,Italy,0.98,-0.001330823
2021,Italy,1.06,0.086439833
2022,Italy,0.92,-0.134125604
2019,Japan,0.55,
2020,Japan,1.23,1.233086367
2021,Japan,1.08,-0.122517404
2022,Japan,1.15,0.061763844
2019,Jordan,0.52,
2020,Jordan,0.7,0.346369892
2021,Jordan,0.56,-0.194458304
2022,Jordan,0.55,-0.02865114
2019,Kenya,0.59,
2020,Kenya,0.96,0.633700788
2021,Kenya,0.84,-0.118951214
2022,Kenya,0.73,-0.139221188
2019,Latvia,0.86,
2020,Latvia,1.07,0.240400994
