year,country_region,skill_level,inflow_outflow_ratio,yoy_change
2019,Argentina,HIGH,0.58488529,
2020,Argentina,HIGH,0.530278366,-0.093363477
2021,Argentina,HIGH,0.3469963,-0.345633684
2022,Argentina,HIGH,0.492848923,0.420329043
2019,Argentina,LOW,0.687234043,
2020,Argentina,LOW,0.5716118,-0.168242892
2021,Argentina,LOW,0.428264868,-0.250776719
2022,Argentina,LOW,0.489304813,0.142528489
2019,Argentina,MEDIUM,0.770883055,
2020,Argentina,MEDIUM,0.579458709,-0.248318269
2021,Argentina,MEDIUM,0.401817264,-0.306564458
2022,Argentina,MEDIUM,0.471558836,0.173565395
2019,Australia,HIGH,2.149716529,
2020,Australia,HIGH,1.339477767,-0.376904932
2021,Australia,HIGH,1.302977959,-0.027249282
2022,Australia,HIGH,1.959065171,0.503529018
2019,Australia,LOW,2.601218981,
2020,Australia,LOW,1.415964523,-0.455653471
2021,Australia,LOW,1.30472103,-0.078563757
2022,Australia,LOW,2.623323615,1.010639481
2019,Australia,MEDIUM,2.630794702,
2020,Australia,MEDIUM,1.531708471,-0.417777271
2021,Australia,MEDIUM,1.521040797,-0.006964559
2022,Australia,MEDIUM,2.270657124,0.492831178
2019,Austria,HIGH,1.462355658,
2020,Austria,HIGH,1.493196781,0.021090029
2021,Austria,HIGH,1.442721287,-0.033803645
2022,Austria,HIGH,1.450673195,0.005511742
2019,Bahrain,HIGH,0.574548193,
2020,Bahrain,HIGH,0.960202887,0.671231238
2021,Bahrain,HIGH,1.027334852,0.069914354
2022,Bahrain,HIGH,1.066953097,0.038564101
2019,Bangladesh,HIGH,0.229304314,
2020,Bangladesh,HIGH,0.522954092,1.280611658
2021,Bangladesh,HIGH,0.427887493,-0.181787657
2022,Bangladesh,HIGH,0.298404986,-0.302608768
2019,Belgium,HIGH,1.365859653,
2020,Belgium,HIGH,1.177499819,-0.137905702
2021,Belgium,HIGH,1.203142098,0.021776885
2022,Belgium,HIGH,1.265627342,0.051935049
2019,Belgium,LOW,1.487148103,
2020,Belgium,LOW,1.264026403,-0.150033275
2021,Belgium,LOW,1.307843137,0.034664414
2022,Belgium,LOW,1.199898785,-0.082536161
2019,Belgium,MEDIUM,1.355167394,
2020,Belgium,MEDIUM,1.220989761,-0.099011852
2021,Belgium,MEDIUM,1.272566372,0.042241641
2022,Belgium,MEDIUM,1.269756839,-0.002207769
2019,Brazil,HIGH,0.241932986,
2020,Brazil,HIGH,0.652143507,1.695554327
2021,Brazil,HIGH,0.647283974,-0.00745163
2022,Brazil,HIGH,0.479974745,-0.258478868
2019,Brazil,LOW,0.251221896,
2020,Brazil,LOW,0.635509228,1.529672918
2021,Brazil,LOW,0.727068092,0.144071653
2022,Brazil,LOW,0.387383824,-0.467197325
2019,Brazil,MEDIUM,0.267555556,
2020,Brazil,MEDIUM,0.62827365,1.34819886
2021,Brazil,MEDIUM,0.725746269,0.155143572
2022,Brazil,MEDIUM,0.419150522,-0.422455837
2019,Canada,HIGH,1.837534304,
2020,Canada,HIGH,1.866796844,0.015924894
2021,Canada,HIGH,2.111463192,0.131062118
2022,Canada,HIGH,2.400666181,0.136968047
2019,Canada,LOW,3.099729242,
2020,Canada,LOW,2.97030185,-0.041754418
2021,Canada,LOW,3.661696996,0.232769321
2022,Canada,LOW,4.082198444,0.11483786
2019,Canada,MEDIUM,2.604543347,
2020,Canada,MEDIUM,2.587564485,-0.00651894
2021,Canada,MEDIUM,2.816032888,0.088294767
2022,Canada,MEDIUM,2.971517672,0.055214122
2019,Chile,HIGH,1.306348282,
2020,Chile,HIGH,1.049594814,-0.196542891
2021,Chile,HIGH,0.681968569,-0.350255394
2022,Chile,HIGH,0.643173346,-0.056887113
2019,China,HIGH,0.474053131,
2020,China,HIGH,0.903536595,0.905981707
2021,China,HIGH,0.727539191,-0.194787245
2022,China,HIGH,0.825006324,0.133968224
2019,Colombia,HIGH,0.356193799,
2020,Colombia,HIGH,0.751531059,1.109893714
2021,Colombia,HIGH,0.573647059,-0.236695474
2022,Colombia,HIGH,0.466991342,-0.185925675
2019,Costa Rica,HIGH,0.544978166,
2020,Costa Rica,HIGH,0.884215992,0.622479664
2021,Costa Rica,HIGH,0.88059034,-0.004100414
2022,Costa Rica,HIGH,0.805776476,-0.084958761
2019,Croatia,HIGH,0.635241302,
2020,Croatia,HIGH,0.873393316,0.374900079
2021,Croatia,HIGH,0.878205128,0.00550933
2022,Croatia,HIGH,1.110243454,0.264218824
2019,Cyprus,HIGH,1.397711016,
2020,Cyprus,HIGH,1.73630137,0.242246323
2021,Cyprus,HIGH,1.630244755,-0.061081916
2022,Cyprus,HIGH,2.353918651,0.44390506
2019,Denmark,HIGH,1.48922273,
2020,Denmark,HIGH,1.372118401,-0.07863453
2021,Denmark,HIGH,1.481545469,0.079750456
2022,Denmark,HIGH,1.48960249,0.005438254
2019,Ecuador,HIGH,0.394120849,
2020,Ecuador,HIGH,0.854590925,1.168347417
2021,Ecuador,HIGH,0.669414189,-0.216684651
2022,Ecuador,HIGH,0.574541589,-0.141724812
2019,Egypt,HIGH,0.41741813,
2020,Egypt,HIGH,0.902953586,1.163187273
2021,Egypt,HIGH,0.803896473,-0.109703438
2022,Egypt,HIGH,0.552563139,-0.312643907
2019,Finland,HIGH,1.440570523,
2020,Finland,HIGH,1.384766585,-0.038737387
2021,Finland,HIGH,1.472484277,0.063344749
2022,Finland,HIGH,1.478051976,0.003781161
2019,France,HIGH,1.564639103,
2020,France,HIGH,1.328258104,-0.151077011
2021,France,HIGH,1.269857534,-0.043967788
2022,France,HIGH,1.106311499,-0.128790853
2019,France,LOW,1.460016718,
2020,France,LOW,1.266834394,-0.132315145
2021,France,LOW,1.152100041,-0.09056776
2022,France,LOW,0.981075993,-0.148445483
2019,France,MEDIUM,1.409861325,
2020,France,MEDIUM,1.29709743,-0.07998226
2021,France,MEDIUM,1.143852752,-0.118144308
2022,France,MEDIUM,0.965817977,-0.155644837
2019,Germany,HIGH,1.858151365,
