year,source_country_region,dest_country_region,s2d_d2s_ratio,yoy_change
2020,Algeria,France,6.20696325,
2021,Algeria,France,5.427549195,-0.125570915
2022,Algeria,France,5.537984496,0.020347176
2020,Argentina,Brazil,1.325443787,
2021,Argentina,Brazil,1.668335419,0.25869949
2022,Argentina,Brazil,0.925461741,-0.445278371
2021,Argentina,Chile,1.833009709,
2022,Argentina,Chile,1.351877608,-0.262482025
2022,Argentina,Colombia,1.070496084,
2022,Argentina,Italy,3.564917127,
2022,Argentina,Mexico,1.706467662,
2019,Argentina,Spain,5.071705426,
2020,Argentina,Spain,3.250116225,-0.359166996
2021,Argentina,Spain,4.832330181,0.486817654
2022,Argentina,Spain,3.489238411,-0.277938742
2019,Argentina,United States,1.776896942,
2020,Argentina,United States,1.46448468,-0.175819011
2021,Argentina,United States,2.171559035,0.482814443
2022,Argentina,United States,1.642008432,-0.243857336
2021,Argentina,Uruguay,1.72541744,
2022,Argentina,Uruguay,1.459183673,-0.154301075
2022,Argentina,Venezuela,0.526506899,
2020,Australia,Brazil,0.647749511,
2021,Australia,Brazil,0.685499058,0.058278003
2022,Australia,Brazil,0.24,-0.64989011
2019,Australia,Canada,0.687939934,
2020,Australia,Canada,1.053805774,0.531828175
2021,Australia,Canada,1.116925065,0.059896512
2022,Australia,Canada,0.923141537,-0.17349734
2019,Australia,China,0.294117647,
2020,Australia,China,1.192694547,3.055161461
2021,Australia,China,1.062966916,-0.108768529
2022,Australia,China,0.431979128,-0.593609997
2019,Australia,France,0.979905437,
2020,Australia,France,1.543028686,0.574671011
2021,Australia,France,1.540322581,-0.001753762
2022,Australia,France,0.656035022,-0.574092447
2019,Australia,Germany,1.281561462,
2020,Australia,Germany,1.661106234,0.296158072
2021,Australia,Germany,1.42765685,-0.140538503
2022,Australia,Germany,0.785764131,-0.449612748
2019,Australia,India,0.179161907,
2020,Australia,India,0.315987878,0.763700125
2021,Australia,India,0.521077792,0.649043614
2022,Australia,India,0.241909485,-0.535751688
2019,Australia,Indonesia,0.858050847,
2020,Australia,Indonesia,1.024460432,0.193939071
2021,Australia,Indonesia,1.280936455,0.250352298
2022,Australia,Indonesia,0.439889452,-0.656587608
2020,Australia,Ireland,1.354185833,
2021,Australia,Ireland,1.236391913,-0.086985048
2022,Australia,Ireland,0.459173871,-0.628617863
2019,Australia,Italy,0.910067114,
2020,Australia,Italy,1.511254019,0.660596231
2020,Australia,Japan,1.274368231,
2022,Australia,Japan,0.773631841,
2019,Australia,Malaysia,0.510344828,
2020,Australia,Malaysia,1.473533619,1.887329389
2021,Australia,Malaysia,1.566440349,0.063050295
2022,Australia,Malaysia,0.49306711,-0.685230842
2020,Australia,Netherlands,1.586394558,
2021,Australia,Netherlands,1.272072072,-0.198136387
2022,Australia,Netherlands,0.8125,-0.361278329
2019,Australia,New Zealand,0.635675939,
2020,Australia,New Zealand,1.091000503,0.716284092
2021,Australia,New Zealand,0.822301426,-0.24628685
2022,Australia,New Zealand,0.498690836,-0.393542538
2021,Australia,Pakistan,0.470860315,
2020,Australia,Philippines,0.381416838,
2021,Australia,Philippines,0.486244842,0.274838428
2022,Australia,Philippines,0.2509782,-0.483843984
2022,Australia,Saudi Arabia,0.940514469,
2019,Australia,Singapore,0.363498483,
2020,Australia,Singapore,0.788401795,1.16892733
2021,Australia,Singapore,0.68694362,-0.128688412
2022,Australia,Singapore,0.546213292,-0.204864452
2019,Australia,Spain,0.873015873,
2020,Australia,Spain,1.48625,0.702431818
2022,Australia,Spain,0.588837209,
2020,Australia,Thailand,0.880952381,
2020,Australia,United Arab Emirates,0.403736378,
2021,Australia,United Arab Emirates,0.596818811,0.478238879
2022,Australia,United Arab Emirates,0.502822201,-0.157496057
2019,Australia,United Kingdom,0.552881759,
2020,Australia,United Kingdom,0.836226415,0.512486896
2021,Australia,United Kingdom,0.707228036,-0.154262502
2022,Australia,United Kingdom,0.776386224,0.097787678
2019,Australia,United States,1.002895194,
2020,Australia,United States,0.853508772,-0.148955168
2021,Australia,United States,1.106452165,0.29635711
2022,Australia,United States,1.036513362,-0.063209965
2019,Austria,Germany,0.878145219,
2020,Austria,Germany,0.810929214,-0.076543155
2021,Austria,Germany,0.797453431,-0.016617706
2022,Austria,Germany,0.770378151,-0.033952176
2022,Austria,Italy,0.541125541,
2022,Austria,Netherlands,0.905383361,
2022,Austria,Spain,0.852614897,
2020,Austria,Switzerland,1.403508772,
2021,Austria,Switzerland,1.553956835,0.107194245
2022,Austria,Switzerland,1.840867993,0.184632643
2020,Austria,United Kingdom,0.592788039,
2021,Austria,United Kingdom,0.6504329,0.097243632
2022,Austria,United Kingdom,0.809907834,0.24518276
2019,Austria,United States,0.920895522,
2020,Austria,United States,0.569387755,-0.381702114
2021,Austria,United States,0.786746988,0.381742022
2022,Austria,United States,0.978823529,0.244140168
2020,Bahrain,India,0.890354493,
2021,Bahrain,India,0.828976848,-0.068936188
2022,Bahrain,India,0.623883929,-0.247404883
2020,Bahrain,United Arab Emirates,1.109615385,
2021,Bahrain,United Arab Emirates,1.064421669,-0.040729172
2022,Bahrain,United Arab Emirates,1.160337553,0.090110796
2022,Bangladesh,India,1.034734918,
2020,Bangladesh,United States,1.390943878,
2021,Bangladesh,United States,2.476882431,0.78072061
2022,Bangladesh,United States,4.783719548,0.931347039
2019,Belgium,France,0.910299943,
2020,Belgium,France,0.886844166,-0.025767087
2021,Belgium,France,0.852499486,-0.038726849
2022,Belgium,France,0.8386,-0.016304392
2019,Belgium,Germany,1.043898156,
2020,Belgium,Germany,1.112526539,0.065742412
2021,Belgium,Germany,1.148804934,0.032609016
2022,Belgium,Germany,0.986027944,-0.141692454
2019,Belgium,India,0.417642467,
2020,Belgium,India,0.552907531,0.323877658
2021,Belgium,India,0.555662188,0.00498213
2022,Belgium,India,0.393671818,-0.291526712
2019,Belgium,Italy,0.453568688,
2020,Belgium,Italy,0.621079046,0.369316409
2021,Belgium,Italy,0.622147651,0.001720561
2022,Belgium,Italy,0.499725426,-0.196773588
2020,Belgium,Luxembourg,2.0256917,
2021,Belgium,Luxembourg,1.466076696,-0.276258724
2022,Belgium,Luxembourg,1.654624277,0.128606902
2020,Belgium,Netherlands,1.037997808,
2021,Belgium,Netherlands,0.978581979,-0.057240803
2022,Belgium,Netherlands,0.904390244,-0.075815555
2022,Belgium,Portugal,0.753867792,
2019,Belgium,Spain,0.881463803,
2020,Belgium,Spain,0.817370613,-0.07271222
2021,Belgium,Spain,0.913103448,0.117122923
2022,Belgium,Spain,0.857142857,-0.061286146
2019,Belgium,United Kingdom,0.698683191,
2020,Belgium,United Kingdom,0.826189355,0.182494963
2021,Belgium,United Kingdom,0.817253121,-0.010816205
2022,Belgium,United Kingdom,0.941097724,0.151537632
2019,Belgium,United States,1.069955157,
2020,Belgium,United States,0.797945205,-0.254225562
2021,Belgium,United States,0.992862807,0.244274419
2022,Belgium,United States,1.192340426,0.200911563
2020,Brazil,Argentina,0.754464286,
2021,Brazil,Argentina,0.59939985,-0.205529193
2022,Brazil,Argentina,1.080541696,0.802705984
2020,Brazil,Australia,1.543806647,
2021,Brazil,Australia,1.458791209,-0.055068708
2022,Brazil,Australia,4.166666667,1.856246077
2019,Brazil,Canada,5.856877323,
2020,Brazil,Canada,1.940166205,-0.668737094
2021,Brazil,Canada,2.570601852,0.32493899
2022,Brazil,Canada,3.27865512,0.275442604
2020,Brazil,France,1.747826087,
2021,Brazil,France,1.646864686,-0.057763985
2022,Brazil,France,1.793157076,0.08883085
2020,Brazil,Germany,2.362459547,
2021,Brazil,Germany,2.189333333,-0.073282192
2022,Brazil,Germany,2.398606811,0.095587764
2020,Brazil,Ireland,1.570780856,
2021,Brazil,Ireland,1.441860465,-0.082074078
2022,Brazil,Ireland,3.313293253,1.297929192
2020,Brazil,Italy,2.048578199,
2021,Brazil,Italy,2.077777778,0.014253583
2022,Brazil,Italy,2.536263736,0.220661691
2020,Brazil,Mexico,1.234767025,
2021,Brazil,Mexico,1.420634921,0.150528717
2022,Brazil,Mexico,1.269306931,-0.106521378
2022,Brazil,Netherlands,2.501592357,
2020,Brazil,Portugal,2.371013803,
2021,Brazil,Portugal,2.57731459,0.087009526
2022,Brazil,Portugal,3.687510478,0.43075684
2020,Brazil,Spain,1.891213389,
2021,Brazil,Spain,1.803103783,-0.046588929
2022,Brazil,Spain,2.037420382,0.12995181
2020,Brazil,United Kingdom,1.997501562,
2021,Brazil,United Kingdom,1.716666667,-0.140593079
2022,Brazil,United Kingdom,1.747469066,0.017943145
2019,Brazil,United States,3.288447653,
2020,Brazil,United States,0.912849494,-0.722407169
2021,Brazil,United States,0.963199105,0.05515653
2022,Brazil,United States,1.607464299,0.668880598
2019,Canada,Australia,1.45361528,
2020,Canada,Australia,0.948941469,-0.347185268
2021,Canada,Australia,0.895315211,-0.056511661
2022,Canada,Australia,1.083257507,0.209917461
2019,Canada,Brazil,0.170739448,
2020,Canada,Brazil,0.51541976,2.018750305
2021,Canada,Brazil,0.389013958,-0.245248266
2022,Canada,Brazil,0.305003108,-0.215958447
2020,Canada,China,0.714215926,
2021,Canada,China,0.565802429,-0.207799199
2022,Canada,China,0.479336438,-0.152820113
2021,Canada,Colombia,0.185650888,
2022,Canada,Colombia,0.21111691,0.137171564
2019,Canada,France,0.827546562,
2020,Canada,France,0.99940688,0.207674499
2021,Canada,France,0.687252573,-0.312339562
2022,Canada,France,0.463658001,-0.325345559
2019,Canada,Germany,1.404283802,
2020,Canada,Germany,1.316360601,-0.062610706
2021,Canada,Germany,1.046759639,-0.204807833
2022,Canada,Germany,0.760041732,-0.273909976
2019,Canada,India,0.119867166,
2020,Canada,India,0.153067838,0.276978873
2021,Canada,India,0.139255437,-0.090237123
2022,Canada,India,0.11711491,-0.158992186
2020,Canada,Ireland,1.091778203,
2021,Canada,Ireland,0.836312324,-0.233990639
2022,Canada,Ireland,0.525279404,-0.371910004
2022,Canada,Italy,0.522044088,
2020,Canada,Japan,1.226618705,
2021,Canada,Japan,0.927492447,-0.243862462
2022,Canada,Japan,0.917721519,-0.010534779
2019,Canada,Mexico,0.481861199,
2020,Canada,Mexico,0.594623656,0.234014396
2021,Canada,Mexico,0.357750647,-0.398357862
2022,Canada,Mexico,0.348610781,-0.025548147
2020,Canada,Netherlands,1.202321725,
2021,Canada,Netherlands,1.122641509,-0.066271958
2022,Canada,Netherlands,0.980163361,-0.126913309
2020,Canada,New Zealand,1.119426752,
2021,Canada,Nigeria,0.13663469,
2022,Canada,Nigeria,0.14514646,0.062295818
2021,Canada,Pakistan,0.271336951,
2022,Canada,Pakistan,0.225446429,-0.169127435
2022,Canada,Philippines,0.124280393,
2022,Canada,Poland,0.282816901,
